id,address,email,name,phone_number,rating,website,city_id
0000c14a-53c8-401a-8cf9-3fdb8159283a,105 Pinecrest Road,lesalpages@gmail.com,Les Alpages,010 34535432,1,www.lesalpages.com,25f496c4-2a40-4e0f-927e-c20a8f6c6c64
000db399-ceac-4272-b2b0-fd22175c9103,80 Cedar Avenue,theparkcentral@gmail.com,The Park Central,010 74163640,5,www.theparkcentral.com,31af52fe-d055-4c36-b2f5-b8bb62c9274d
0018a400-d7a0-4ecf-bee7-48bffd083a7f,79 Cherry Lane,l'oasisdesmerveilles@gmail.com,L'Oasis des Merveilles,08 24590290,2,www.l'oasisdesmerveilles.com,03bb9fed-2dad-4169-9d26-796d578f5238
001b3144-0844-4060-95e1-9d70a2ebee53,72 River Avenue,lesvaguesbleues@gmail.com,Les Vagues Bleues,08 68079165,2,www.lesvaguesbleues.com,9bfc1d21-0d4f-4de9-9d04-5952223dc924
001f3ca0-6971-4501-a270-1b1bf9d7253b,53 Grandview Drive,lesjardinsexotiques@gmail.com,Les Jardins Exotiques,010 59123007,2,www.lesjardinsexotiques.com,871ba5e1-166b-4736-8c0c-4f886d047db1
002d118d-3df2-4be1-bae0-17a38b8462c3,119 Riverside Avenue,lamaisondelaforêt@gmail.com,La Maison de la Forêt,07 54757031,4,www.lamaisondelaforêt.com,e0baa498-514b-49ba-80d7-9bc748490014
002ea70a-a899-47a7-acb0-ad709e2cd9bc,40 Greenfield Drive,sandcastleinn@gmail.com,Sandcastle Inn,06 79120069,5,www.sandcastleinn.com,a6d941e6-0ead-41f6-ab9d-4057ae931ec8
002f6fd1-68f5-48aa-9e1a-af4f72f1c310,74 Rue Marcadet,thebeachcomber@gmail.com,The Beachcomber,07 37217162,3,www.thebeachcomber.com,b2e8d0e6-f482-4868-ab53-f71b8eda993f
003600ca-42ec-4fa6-8568-149dc64303bb,134 Elm Lane,lessablesd'argent@gmail.com,Les Sables d'Argent,09 12628261,3,www.lessablesd'argent.com,e3209bd4-1e0d-4426-99fb-aac78f194525
0037c9a4-6698-427c-baab-f6e2fe42d262,106 South Road,royalorchid@gmail.com,Royal Orchid,06 34473655,4,www.royalorchid.com,779c8fb6-3c06-4053-813e-5b91a1eff6b1
00388661-6c85-42ce-abf8-0632916ef9d3,142 Lake Road,lessourcescristallines@gmail.com,Les Sources Cristallines,07 26360831,4,www.lessourcescristallines.com,58db85a2-9d6a-4475-ba81-4ee6d7f86d6d
003a507c-fcea-446f-9f9b-c48f52d80a56,63 Maplewood Avenue,lejardindesdélices@gmail.com,Le Jardin des Délices,07 60739573,2,www.lejardindesdélices.com,2b3238fe-0082-4312-a008-5d0ed5d38fb0
003d947d-2427-4439-b8ff-eaa0157a2995,98 Southview Lane,lescollinesfleuries@gmail.com,Les Collines Fleuries,010 53249742,2,www.lescollinesfleuries.com,cc763b45-78e5-4857-8286-568fe01427d8
0047caaa-aebc-448b-ad0d-d5377b2ef779,34 Hill Road,lechaletdesmontagnes@gmail.com,Le Chalet des Montagnes,09 59603554,3,www.lechaletdesmontagnes.com,b680eaaa-183f-4d6e-b604-6835121dc76d
0048758c-5253-492d-8808-22b143ab3fdf,144 Maplewood Drive,laclédeschamps@gmail.com,La Clé des Champs,08 89730776,2,www.laclédeschamps.com,0eb064b4-cf88-4cdd-ba38-abe0e4080a25
004934af-7820-43d8-844a-342af921a732,69 Willow Lane,lesjardinsexotiques@gmail.com,Les Jardins Exotiques,06 76284695,3,www.lesjardinsexotiques.com,04928b9e-d7cf-48d4-a1b9-bdd44c27935f
00493d3a-6d13-42d9-8cc0-6354015ed448,91 Pine Ridge Drive,lavieenrose@gmail.com,La Vie en Rose,09 76261113,3,www.lavieenrose.com,d1969839-0226-455a-8dea-8f17f171f5e2
0051675b-82be-4bd2-8167-158d41c9e6ef,132 Magnolia Drive,theharbor@gmail.com,The Harbor,06 48345554,2,www.theharbor.com,e5e739a1-0cd4-4ac4-b543-a9fed8a5c47e
00525982-d4d5-4cf3-8114-c3f2d4fada4d,134 Elm Lane,laclédeschamps@gmail.com,La Clé des Champs,09 87361270,4,www.laclédeschamps.com,12ba7bcb-f8db-4dda-8f4e-fc458d42838f
0052c840-59b1-48eb-ae9b-4e76f18cb5f5,58 Rue de Lille,lesvoilesblanches@gmail.com,Les Voiles Blanches,06 90684774,1,www.lesvoilesblanches.com,2eac266a-b1cf-4bd1-bc91-18d83fe9f9e6
0057244b-1a84-41d1-b29f-88d3dce2fcdd,74 School Street,lesrivagescalmes@gmail.com,Les Rivages Calmes,09 98582269,4,www.lesrivagescalmes.com,ac6ffea9-9221-4a65-8b69-657836eba93d
005aa94b-a77d-40a0-85e7-33f5153a3cbf,43 Pine Avenue,theurbanescape@gmail.com,The Urban Escape,07 35811886,2,www.theurbanescape.com,14b9d95d-0bb4-4928-98c1-d26f743b7de5
005eb349-b92a-462d-8b5d-ac1d098eac00,75 River Run,moonlightbay@gmail.com,Moonlight Bay,010 79107161,2,www.moonlightbay.com,c6a6ee70-6644-44ea-ae7d-6fba34ff14ce
00617e13-aa76-45b5-936a-5cab159fcc30,58 Country Club Road,theoasis@gmail.com,The Oasis,08 17091166,3,www.theoasis.com,8bd32eff-803c-443d-927e-fe7877a0a90c
0063f0b3-ed6e-4de0-bc6c-57cb93d59a2a,74 School Street,moonlightbay@gmail.com,Moonlight Bay,06 67055381,1,www.moonlightbay.com,56cf860c-9ace-4cd5-8c3c-882703b47caf
0066a69f-807f-4eb9-825e-40ac6e40aa91,105 Pinecrest Road,palmspringsinn@gmail.com,Palm Springs Inn,010 94869810,4,www.palmspringsinn.com,c6da18f5-2f82-4a63-ade5-1a9868827416
00671bc0-189a-45be-aabd-477d200404f4,38 Forest Avenue,goldensandsresort@gmail.com,Golden Sands Resort,09 36380700,3,www.goldensandsresort.com,dd34c641-5c83-431c-b744-48c7b5fe9f4f
006b6d8f-b395-4450-a85d-d6f0e0ade21f,18 Grand Street,sunsetbayresort@gmail.com,Sunset Bay Resort,06 38572196,1,www.sunsetbayresort.com,322e5033-eea2-4b76-ba39-eb91a79894e0
006e6412-1162-4031-8548-f131c8f08dc5,132 Oak Hill Road,lesoleillevant@gmail.com,Le Soleil Levant,09 70510695,4,www.lesoleillevant.com,0b768011-7eff-4e8d-aa28-856d2b09e22f
006e6fe8-470f-4d20-ae17-22eea6b41b01,120 Greenfield Avenue,theparkcentral@gmail.com,The Park Central,010 99954809,1,www.theparkcentral.com,adc12184-7200-41b6-91f8-3191839019a8
0070ebdc-f39b-4c20-a8e1-0eeec0e35e24,123 Cedar Street,themonarch@gmail.com,The Monarch,09 50018318,4,www.themonarch.com,cfab485e-1a66-4d33-9db7-38ef2a1c94ff
