id,alt,iata,icao,lat,lon,name,size,city_id
0014bf2d-c79b-4fd7-84de-dea733903bc4,2010,TGI,SPGM,-9.28916,-76.004997,Tingo Maria Airport,171,ba562d33-ac29-4b4c-86d9-50405090b294
00173fd5-59cb-440c-967e-149cd554ef3f,744,LCK,KLCK,39.813782,-82.927803,Columbus Rickenbacker International Airport,3646,5899b022-0d1f-423d-96e4-63ef0aababef
0020f8f1-b8d5-48a0-bab8-52aec8c0e4d4,2697,PTO,SBPO,-26.2178,-52.694302,Pato Branco Airport,449,f6b315ba-8149-4b63-8501-2ba9b57776de
0024d64c-ebdb-4d7f-b058-7324b9fe8128,1056,GEL,SBNM,-28.281601,-54.169102,Santo Angelo Airport,394,85ce8123-62a7-4f78-9dbb-5f7004e2dede
002f2694-60b7-4463-a0b9-19a462e6d732,343,OLP,YOLD,-30.485001,136.876663,Olympic Dam Airport,1413,d7929717-d2af-4d25-b710-a6dc0fc6634f
00359c55-0e46-4974-bdf0-f258efed98af,160,ONP,KONP,44.580276,-124.057777,Newport Municipal Airport,1321,a2df3dc8-182d-4d6b-a971-03db92edbd49
0046b241-067b-4919-a08a-7839994e9a4f,270,OZP,LEMO,37.174774,-5.615983,Moron Air Base,62,c2a118d9-cf9e-40f0-8c40-eeb743c381e6
005bfb14-84d4-4d8f-8c4c-412db9ea6d0e,26,BWB,YBWX,-20.864401,115.405998,Barrow Island Airport,588,5d33b602-1b2e-46e5-821d-b417ab040a1e
0069187f-292b-4143-9d95-8ddd42093900,219,SLY,USDD,66.590752,66.611038,Salekhard Airport,2273,5cd468bc-0753-4976-a212-d673d4c7f0a4
007caf56-baaa-487a-9f8d-47ba1642c168,146,BWI,KBWI,39.175362,-76.668297,Baltimore Washington International Airport,114298,ee34d06e-3c87-4a5e-a92d-342c873ad349
007cebc2-693c-4d20-b921-612cf43ecf4e,16,SOJ,ENSR,69.786827,20.95944,Sorkjosen Airport,620,ac745a47-8c8d-4acd-a6e5-51267425c399
00a8800a-b0d5-45f6-9b50-7d60540f8370,3305,IKA,OIIE,35.416111,51.152222,Tehran Imam Khomeini International Airport,24776,95425538-1663-4431-8791-febe9f82b595
00ae9406-2c16-4c1c-955d-fe0cf3a2744e,7,MJU,WAFJ,-2.586667,119.029167,Mamuju Tampa Padang Airport,440,a35a3278-7dcb-4597-a320-f5bf51cb579c
00b1d3fc-3ae9-4077-b348-6842e1fe40c2,232,LZN,RCFG,26.1597,119.958397,Matsu Nangan Airport,3103,5f91f3d6-bd71-4fd9-ba79-cb03eb83ac0a
00b25d88-c1cc-4327-9758-733f230e50b5,210,VRA,MUVR,23.034439,-81.435204,Varadero Juan Gualberto Gomez Airport,1781,297c4d5d-40a8-4852-bfd5-39bf2121a85c
00b5b6b8-a1d8-4a53-a5e9-66f640416de8,3169,DJG,DAAJ,24.292761,9.452444,Djanet Inedbirene Airport,620,8dfeb1ee-dd02-430a-98f9-499aae2d1a31
00b62587-9d8c-4014-80c8-9fb4e8f91692,2555,ADJ,OJAM,31.9727,35.991562,Amman Civil Airport,406,118e89b2-f0a3-4467-b4b2-408e822356de
00c2f461-6ee1-4c0f-bc6c-2d08fa209c02,443,TGH,NVST,-16.8911,168.5513,Tongoa Airport,0,c50c08ba-6ca8-4e4f-90ad-0304ee4f8318
00c34d60-9f4e-4321-aa36-1a6b4d9a64ef,1630,ARV,KARV,45.924168,-89.732224,Minocqua Woodruff Lakeland Airport,2021,63786400-f34c-4f74-a4e5-ae6e59131d95
00d3803c-0de7-48a3-ae06-12bf9f7d66a2,590,CZT,KCZT,28.52236,-99.823753,Carrizo Springs Dimmit County Airport,361,7e248ea6-1874-42c0-8532-c9717a13e970
00dd487b-60a1-4a36-8199-9fdc1d9c90f9,11,POA,SBPA,-29.994587,-51.171398,Porto Alegre Salgado Filho International Airport,49,8138f4c8-a2a8-4ab6-877a-4d8b566cb7c8
00f4eb1a-df3b-4249-aacb-b3f4f677722f,308,POZ,EPPO,52.421028,16.826321,Poznan Lawica Airport,19649,e4425b99-9ca1-4b56-ac91-0cde2022f27d
00fde5c0-3caa-4c95-80fe-578ff2ca4e44,3299,GBE,FBSK,-24.555201,25.9182,Gaborone Sir Seretse Khama International Airport,3824,ba0645a8-f516-4173-8cd7-7deee5d3fe8d
0102212e-7d10-46ea-860e-a9cdaa72bdac,2131,QTZ,KSZT,48.299442,-116.559998,Sandpoint Airport,1551,024c65ae-8b52-4764-9dd4-bc351bd48e19
010cdb82-1f5e-4745-8aaf-61e1eb14aa9f,55,RKD,KRKD,44.059166,-69.098053,Rockland Knox County Regional Airport,5417,13d5a968-2998-44d5-a9a1-a4945b950908
012776e4-ab88-4539-a7d5-6ccd1318ea02,25,MYR,KMYR,33.679749,-78.928299,Myrtle Beach International Airport,30836,0ac520a7-e2aa-4c68-ae27-0db15bcedfff
012fb650-03cd-44e3-abee-e9ebbe41fe77,297,BBU,LRBS,44.503189,26.10211,Bucharest Aurel Vlaicu Airport,2490,d4ede9c0-9265-4c90-8b99-9ea12656299c
01325a78-c984-418a-84ea-930f7a939ca3,119,WAT,EIWF,52.187199,-7.08696,Waterford Airport,706,4d37a433-3e95-4760-bfd6-31533a3252b8
013f1d24-97b8-4261-91d8-f2c349e05056,8360,CBB,SLCB,-17.421,-66.177101,Cochabamba Jorge Wilstermann International Airport,10957,029f2cde-e180-4e93-b01f-7cecf47a3b35
014197e9-415c-4110-950c-baa2e2d5557f,3931,AIA,KAIA,42.053219,-102.803001,Alliance Municipal Airport,1299,e0768070-fb86-494e-ac6d-f0d6696ba1a1
01442139-87f8-4c9e-9813-95dca8ab128a,1340,QCE,EDME,48.395996,12.721446,Eggenfelden Airport,559,563d6822-00c7-4ea7-ab80-30e6fef8336f
0154d1cf-8204-4534-8d35-41e054a92378,160,FMO,EDDG,52.13464,7.684831,Munster Osnabruck International Airport,8633,20bdebd6-7b62-4fa5-89c1-82b4aa1187e0
017204c8-52ee-4165-b37a-fb377e1009a6,947,AFL,SBAT,-9.86609,-56.106201,Alta Floresta Airport,256,6aa97aac-be13-44f7-8bc4-a754a8e85d5c
017308e3-b6df-4294-ab5e-07c9095d0059,142,ALC,LEAL,38.282162,-0.55815,Alicante Airport,62058,8d3cad0e-4000-4ffc-a114-79a321bd9ffc
0178b68a-e90a-409e-b80f-f3789dee28cb,805,YSF,CYSF,59.25,-105.841003,Stony Rapids Airport,1004,89e43df8-97e6-4c5d-8301-3019ac37f122
017f62ef-5a17-44c1-a743-7f5c37e4c18a,46,BIK,WABB,-1.19001,136.107895,Biak Frans Kaisiepo Airport,1740,8a517523-9ea4-401a-824f-0783503a0c8f
018c9675-1527-4e37-aba2-1b0f95f32931,69,BVC,GVBA,16.13653,-22.8888,Boa Vista Rabil Airport,2152,739bf98f-f9b7-44e7-a13c-f2b79030a1f2
019a7452-3c12-4a59-aadd-26089ba253a8,58,MLR,YMCT,-37.582989,140.366684,Millicent Airport,97,17849feb-8ea1-4fa2-a2d9-57eccba3c8f2
019c812b-3ae9-43f3-9638-338bbe62fe45,297,MEI,KMEI,32.337223,-88.749168,Meridian Regional Airport,3147,635b364b-cbb1-4ff5-81fd-c92a5b571c10
019d8caa-ce11-4382-a803-22d979abc523,30,YMO,CYMO,51.291111,-80.607697,Moosonee Airport,2520,30a1951e-85d3-4bc1-8d6e-3e4912ac0314
01a19192-1917-492a-8e44-18592e722561,372,TCW,YTOC,-35.811699,145.608002,Tocumwal Airport,406,4f8170f4-182c-4cbf-8b62-9da64f5daced
01ccbb9e-4bab-44f2-9166-33a6d77bd8c0,10682,IXL,VILH,34.135872,77.546509,Leh Kushok Bakula Rimpochee Airport,4220,7f748d86-abc5-4efd-a323-d706aedd719f
